user_id,item_id,category_id,pay_time,order_id_pseudo
792309,3534779,2297500,2017-11-24 16:00:14,792309_3534779_2017-11-24 16:00:14
30759,1437168,3231625,2017-11-24 16:00:21,30759_1437168_2017-11-24 16:00:21
37597,617341,4756105,2017-11-24 16:00:24,37597_617341_2017-11-24 16:00:24
619456,4583524,910741,2017-11-24 16:00:26,619456_4583524_2017-11-24 16:00:26
349876,1248879,1299190,2017-11-24 16:00:59,349876_1248879_2017-11-24 16:00:59
686961,1590482,4672807,2017-11-24 16:01:26,686961_1590482_2017-11-24 16:01:26
402952,2642604,1349561,2017-11-24 16:01:36,402952_2642604_2017-11-24 16:01:36
586996,1602246,1051370,2017-11-24 16:02:26,586996_1602246_2017-11-24 16:02:26
963238,3762791,1320293,2017-11-24 16:02:53,963238_3762791_2017-11-24 16:02:53
724659,46784,2204852,2017-11-24 16:03:14,724659_46784_2017-11-24 16:03:14
248775,1698454,2217187,2017-11-24 16:03:41,248775_1698454_2017-11-24 16:03:41
329490,2501763,1299190,2017-11-24 16:03:42,329490_2501763_2017-11-24 16:03:42
676467,1805343,200278,2017-11-24 16:04:46,676467_1805343_2017-11-24 16:04:46
29678,5111242,3544014,2017-11-24 16:05:24,29678_5111242_2017-11-24 16:05:24
504506,1557986,4462359,2017-11-24 16:06:39,504506_1557986_2017-11-24 16:06:39
448574,275765,3002561,2017-11-24 16:07:32,448574_275765_2017-11-24 16:07:32
724659,3258193,2164274,2017-11-24 16:07:56,724659_3258193_2017-11-24 16:07:56
773562,1005004,866301,2017-11-24 16:08:07,773562_1005004_2017-11-24 16:08:07
842415,1590482,4672807,2017-11-24 16:09:08,842415_1590482_2017-11-24 16:09:08
831177,4956335,801221,2017-11-24 16:09:32,831177_4956335_2017-11-24 16:09:32
278918,2866928,1575622,2017-11-24 16:10:06,278918_2866928_2017-11-24 16:10:06
494747,2598129,1787510,2017-11-24 16:14:18,494747_2598129_2017-11-24 16:14:18
27646,3486986,1567637,2017-11-24 16:15:04,27646_3486986_2017-11-24 16:15:04
989958,2295807,1464116,2017-11-24 16:15:28,989958_2295807_2017-11-24 16:15:28
112308,4897432,411153,2017-11-24 16:15:52,112308_4897432_2017-11-24 16:15:52
1017169,3743459,4170419,2017-11-24 16:17:05,1017169_3743459_2017-11-24 16:17:05
918258,4955796,4364882,2017-11-24 16:17:07,918258_4955796_2017-11-24 16:17:07
958313,4171170,235534,2017-11-24 16:18:26,958313_4171170_2017-11-24 16:18:26
592995,2095209,133742,2017-11-24 16:18:50,592995_2095209_2017-11-24 16:18:50
280472,3565184,4217906,2017-11-24 16:23:24,280472_3565184_2017-11-24 16:23:24
5836,245422,5030562,2017-11-24 16:23:59,5836_245422_2017-11-24 16:23:59
193574,4956077,1817004,2017-11-24 16:25:16,193574_4956077_2017-11-24 16:25:16
627952,4060240,163196,2017-11-24 16:26:05,627952_4060240_2017-11-24 16:26:05
988091,455582,4308141,2017-11-24 16:28:24,988091_455582_2017-11-24 16:28:24
361023,4825453,4756105,2017-11-24 16:28:33,361023_4825453_2017-11-24 16:28:33
519556,1913414,3995452,2017-11-24 16:29:23,519556_1913414_2017-11-24 16:29:23
516957,2711481,1568197,2017-11-24 16:31:44,516957_2711481_2017-11-24 16:31:44
776590,5080585,1471163,2017-11-24 16:35:21,776590_5080585_2017-11-24 16:35:21
454709,3035938,4983640,2017-11-24 16:36:54,454709_3035938_2017-11-24 16:36:54
342540,3000191,1834026,2017-11-24 16:37:19,342540_3000191_2017-11-24 16:37:19
732127,1153145,1274417,2017-11-24 16:38:01,732127_1153145_2017-11-24 16:38:01
608083,3267777,1464116,2017-11-24 16:38:05,608083_3267777_2017-11-24 16:38:05
951164,4182200,4217906,2017-11-24 16:38:27,951164_4182200_2017-11-24 16:38:27
891847,4961929,1573465,2017-11-24 16:40:36,891847_4961929_2017-11-24 16:40:36
435915,1577944,1884568,2017-11-24 16:40:45,435915_1577944_2017-11-24 16:40:45
138201,4513868,552733,2017-11-24 16:46:18,138201_4513868_2017-11-24 16:46:18
